SPEC,chisq.scaled,df.scaled,pvalue.scaled,cfi.robust,tli.robust,rmsea.robust,rmsea.ci.lower.robust,rmsea.ci.upper.robust,srmr,aic,bic,npar
current,4391.55564087274,45,0,0.964477599219436,0.947900478855173,0.0565034702647562,0.0551294437241174,0.0578897685146931,0.0475667529419222,1507470.19300501,1507873.50360178,45
one_anchor,2267.01284485769,43,0,0.98056045510312,0.970162558995486,0.0427601325187256,0.0413378045478321,0.044199682378433,0.0261627614452067,1504549.57504871,1504970.81056089,47
std_lv,2303.50766305167,43,0,0.98056045489251,0.970162558672225,0.0427601327503591,0.0413378047517663,0.0441996826383312,0.0261628004163737,1504549.57504624,1504970.81055841,47
